Id,Year,City
1,2000,"Copenhagen"
2,2003,"Los Angeles"
3,2016,"Oslo"
 	4,2018,"New York"
5,2008,"Los%20Angeles" 	
	 		6,2014, 			 "Los Angeles"
7    ,2015,"Berlin"
8,2019,"Los Angeles"
9,2010,"Berlin"
10	,2002,"Oslo"
11,2000,"Berlin" 	
 	12,2007,"New York"
	  	 13 ,2011,		"Copenhagen"	 
14,2015,"OSL"
 	 15 		,2008,"New%20York"		
 16,2012,"Berlin"
   	17,2004,"New York"
18,2003,"San Francisco"
  19,2000,"Copenhagen"
20,2004,"San%20Francisco"	  	
21	  		,2009,	 	"San Francisco"  
22		,2017,"San Francisco"		
23,2000,"New York"
			 24 		,2009,"New York"
25	 	 ,2019,"Oslo"
 26,2008,"Los Angeles"
	 27,2010,"San Francisco"			 	
	28,2015,"Copenhagen" 
29,2017, 		  "New%20York"
30	 ,2010,"New%20York,%20NY"
 		 31		 ,2006,		"OSL"
 32 			 ,2009,"San Francisco"
33,2007,"San Francisco"
 34,2006,"Los Angeles"
 			35,2014,		"New York"
			36	 ,2017, 	 "Los Angeles"
37,2006,  		"Berlin"	   
   	 38,2004,nan
39,2000,"Berlin"
40,2017,"Oslo"	
41	,2009,"Bärlin"
42,2017,"Berlin"
43,2009,"Berlin"
44,2019,
 			45,2006,nil
46,2007,"San Francisco" 
47,2016,"Los Angeles"
 	48,2015,			  "Copenhagen"	 		
49,2006,"Los Angeles"	   
50,2011,"Copenhagen"
51  	,2013,		"Berlin"
52,2019,"New York"
	53,2006, "San Francisco"
 		 54,2018, "New York, NY"
55,2007,"New York"	  	
56,2005,"Los Angeles"
 		57  	 ,2017,"Oslo"
58   	 ,2015,"New York"
				59	   	,2009,"Oslo"		
60,2004,"Copenhagen"
					61,2018,"New York"
  62,2013, 		  "Copenhagen"		
63 ,2016,	 "Los Angeles"
64,2009, 	  "Los Angeles"
		 65,2001,	 		 "København"
	66	,2015,"Oslo"
67,2006,		  "San Francisco"
 		68,2004,"Oslo"
69,2009,"OSL"
					70,2016,"Copenhagen"
71  ,2011,"New York"  	
			 	72,2016,"Los Angeles"
   	73,2012, 		"New York"
   	 74   ,2012,"San Francisco"
75,2005,	 "Berlin" 
76,2002,"Copenhagen"
77,2009,"Los%20Angeles" 	
78,2007,"San Francisco"		
    	79,2003,"San Francisco"
80,2000, 	 "København"
81,2012,"San Francisco"   
,2011,"New York"
83,2010,	  	"Berlin"
84,2008,n/a
85 ,2019,"Copenhagen"
86	 ,2011,	"Berlin"
		  87,2001, "New York"
		 88,2013, 	"San Francisco"
	89,2003,"Berlin"
	 	90,2017,"Berlin"
,2005,			"Bärlin" 
 92,2008, 	  "Copenhagen"
93,2005,"Oslo"
94,2009,"Oslo"
95  ,2018,"Berlin"
96,2017,"Berlin"
97,2002,	 "New York"
  98,2005,"Los Angeles"
99,2016,nil
100,2011,"New York"   	
101,2005,"New York"
102,2013,"San Francisco"
103,2009,"Berlin"	  		
    	104	  		,2001,
105,2017,		"New%20York"  	 	
106 	,2018,		"San%20Francisco" 			
107,2019,"Copenhagen"
108,2000,   	 "Copenhagen"
109,2006,"New York"	
110 	 	,2000,"Oslo"
 	111,2014,"Berlin"
112,2014,"Oslo"
113	  ,2010,"Copenhagen"	 
114,2010,"Copenhagen"	
 				115,2005, "San Francisco"				 
116 ,2010,"Copenhagen"				 
117,2013,"Copenhagen"		
	 	118,2001,	"Los Angeles"
 			119,2010,"Oslo"
120		 		,2009,"LA"
121,2004,"New York"	 	 
122 	 ,2019,	  	"Oslo"
123,2002,"Copenhagen"
124,2019, "Berlin"
125,2012, "New York"
126,2001,"Oslo"  		 
127,2003,"Copenhagen"
  	 	128,2001,"New York"   	
	   129,2011,	"Los Angeles"
   130,2007,	"Los Angeles"
131	   ,2001,"New York"
		 	132,2011,"San Francisco"
133			,2007,				"Oslo" 	 
		 	134  	,2015,"San Francisco"
135 	,2011,n/a
 	136,2017,"Copenhagen"     
137	 	,2006,  "Oslo"
138		 		,2010,"San Frencisco"
,2014,   "København"
	140,2003,	 	  "Berlin"
141 	 ,2010,	 "Berlin"
n/a,2015,"New York"
 	  	143,2013,"New York"
144 ,2010,"Berlin"
	 145,2017,nil
146,2000,"Oslo"		   
147,2006,"San Francisco"
  		148,2016,"Oslo"
149		  ,2002,"Los Angeles"
150,2007,		"San Francisco"
151,2004,"San Francisco"
152	,2019,"Oslo"		
153   	,2016,"New York"		 	
154,2008, "Copenhagen"
155	 ,2009,"San Francisco"
156,2007,"Berlin"
157,2012,"New York"
158,2012,"Oslo"
159,2015,"New York, NY"
160			,2009,"Copenhagen"
 	161,2004,"Bärlin"  			
162 		,2004,"San Francisco"  	
163,2019,	 	"Copenhagen"  
164,2000,"Los Angeles"
  	165		   ,2012,"San Francisco"
166,2019,"San Francisco"
	 167,2016,"Los Angeles"
	168,2002,"Berlin" 	  
169,2019,"Los Angeles"
170	,2017,"Los Angeles"
171,2008,null
172,2004,"Los Angeles"
173,2018,"Copenhagen"	
174,2000,"Los%20Angeles"
175,2007,"San Francisco" 		
176,2013, "Berlin"
177,2013,"Copenhagen"
		 	178  ,2010,null
null,2000,"Los Angeles"
180,2019,  "Los Angeles"
181 	   ,2017,"Oslo"
182,2015,"Copenhagen"
183,2012,"Copenhagen"
		 	184,2004,nan
 185	,2015,
186,2007,"Berlin"
187,2004,"Berlin"
188,2013,	 	"San Francisco"
189,2002,"San Francisco"				
null,2005,"LA"  		
    191		 		,2002,"Berlin"
192,2007,	 	"Copenhagen"
193	 	,2014,"New York"
194 	  ,2001,"Los Angeles"
 	195  ,2008,"San Francisco"  
196,2005,	  	"Copenhagen"
		 197   ,2005,"Los Angeles"
198,2001,	"Los Angeles"	 
199,2006,"LA"
 		 200		 ,2017,"Oslo"
