Id, Title, Author, ISSN
1, "Larger than life", "L Erickson, Esmae", 2451-9294
2, "The genome map", "PD Abraham, Jessie", 1476-4687
3, "Language learning models", "L Mcconaughey, Helen", 0346-2511
4, "Questions answered", "Thompson, Mary", 0018-1560
5, "Data visualization", "AP Compton, Dean", 0346-2511
6, "Biological processes", "P Valdez, Katelyn", 2451-9294
7, "Evolution strikes back", "King, Judy", 2451-9294
8, "Listening strategies", "PD Harper, Nathaniel", 0346-2511
9, "Molecular focus", "P League, Ivy", 2451-9294
10, "Small scales", "L Carlson, Carl", 2451-9294
11, "Learn teaching", "AP Alvarez, Niamh", 0018-1560
12, "Seafloor spreading", "Johnson, John", 1476-4687
13, "Unfold the protein", "Buster, Jacob", 2451-9294
14, "Order and disorder", "P Hutton, Meredith", 0147-2011
15, "Great university atmosphere", "PD Yoda, Mariella", 0018-1560
16, "Teaching people born in the 2000s", "Mckinney, Matilda", 0346-2511
17, "Cure cancer", "Junior, Catherine", 2451-9294
18, "Cells", "SR Cotton, Joy", 2451-9294
19, "Metabolism explained", "Bradshaw, William", 2451-9294
20, "Private school challenges", "SP Parsons, Coco", 0346-2511
