ID, Title, AuthorIDs, ISSN, CitedArticleIDs
1, "Larger than life", [1], 2451-9294, [13;16;5]
2, "The genome map", [2; 8], 1476-4687, [18;19]
3, "Language learning models", [3; 11], 0346-2511, [8;11;15]
4, "Questions answered", [4; 6], 0018-1560, [5;14;17]
5, "Data visualization", [5; 11; 16], 0346-2511, [4;6;2]
6, "Biological processes", [6; 7], 2451-9294, [9;2;13;18]
7, "Evolution strikes back", [7; 18], 2451-9294, [3;12;17;19]
8, "Listening strategies", [8; 5], 0346-2511, [3;11;14;20]
9, "Molecular focus", [9; 7], 2451-9294, [10;17;19]
10, "Small scales", [10; 11], 2451-9294, [4;1;12;18]
11, "Learn teaching", [11; 17; 20], 0018-1560, [16;15;20;3]
12, "Seafloor spreading", [12; 5], 1476-4687, [2;13;6;18;19]
13, "Unfold the protein", [13; 15], 2451-9294, [6;1]
14, "Order and disorder", [14; 1], 0147-2011, [1;3;8;11;15]
15, "Great university atmosphere", [15; 4; 5; 16], 0018-1560, [8;16;20;1]
16, "Teaching people born in the 2000s", [16; 5], 0346-2511, [15;1;3;8;20]
17, "Cure cancer", [17; 9], 2451-9294, [6;2;9;12]
18, "Cells", [18; 6], 2451-9294, [2;6;12;19]
19, "Metabolism explained", [19; 4], 2451-9294, [18;2;9;13]
20, "Private school challenges", [20; 8], 0346-2511, [16;15;8;10;11]
